_action_text,_bill,_committees,_date,_status,_time,_type
"Referred to the Committee on Appropriations, and in addition to the Committee on the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr1,HSAP,2011-01-11,INTRODUCED,,referral
Referred to House Appropriations,hr1,HSAP,2011-01-11,,,referral
Referred to House Budget,hr1,HSBU,2011-01-11,,,referral
"Rules Committee Resolution H. Res. 92 Reported to House. Rule provides for consideration of H.R. 1 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Measure will be read by paragraph. Specified amendments are in order. The resolution makes in order only those amendments received for printing in the Congressional Record dated at least one day before the day of consideration of the amendment (but no later that February 15, 2011). The resolution waives all points of order against consideration of the bill. The requirement of clause 6(a) of rule XIII for a two-thirds vote to consider a report from the Committee on Rules on the same day it is presented to the House is waived with respect to any resolution reported providing for consideration or disposition of H.R. 1.",hr1,HSRU,2011-01-14,,22:14:00,action
Rule H. Res. 92 passed House.,hr1,,2011-01-15,,14:06:00,action
Considered under the provisions of rule H. Res. 92.,hr1,,2011-01-15,,14:13:00,action
"Rule provides for consideration of H.R. 1 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Measure will be read by paragraph. Specified amendments are in order. The resolution makes in order only those amendments received for printing in the Congressional Record dated at least one day before the day of consideration of the amendment (but no later that February 15, 2011). The resolution waives all points of order against consideration of the bill. The requirement of clause 6(a) of rule XIII for a two-thirds vote to consider a report from the Committee on Rules on the same day it is presented to the House is waived with respect to any resolution reported providing for consideration or disposition of H.R. 1.",hr1,HSRU,2011-01-15,,14:13:00,action
House resolved itself into the Committee of the Whole House on the state of the Union pursuant to H. Res. 92 and Rule XVIII.,hr1,,2011-01-15,,14:13:00,action
The Speaker designated the Honorable Frank D. Lucas to act as Chairman of the Committee.,hr1,,2011-01-15,,14:13:00,action
GENERAL DEBATE - The Committee of the Whole proceeded with one hour of general debate on H.R. 1.,hr1,,2011-01-15,,14:14:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with debate on the Flake amendment number 370 under the five-minute rule.",hr1,,2011-01-15,,15:37:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Flake amendment, the Chair put the question on adoption of the amendment and by voice vote, announced the ayes had prevailed. Mr. Dicks demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr1,,2011-01-15,,17:37:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with debate on the Pompeo amendment number 87 under the five-minute rule.",hr1,,2011-01-15,,17:43:00,action
"POSTPONED PROCEEDINGS - At the conclusion of debate on the Pompeo amendment, the Chair put the question on adoption of the amendment and by voice vote, announced the ayes had prevailed. Mr. Dicks demanded a recorded vote and the Chair postponed further proceedings on the question of adoption of the amendment until later in the legislative day.",hr1,,2011-01-15,,18:00:00,action
"DEBATE - Pursuant to the provisions of H.Res. 92, the Committee of the Whole proceeded with debate on the Gutierrez amendment number 63 under the five-minute rule.",hr1,,2011-01-15,,18:10:00,action
