_action_text,_bill,_committees,_date,_status,_time,_type
Read twice and referred to the Committee on the Judiciary.,s1,SSJU,2013-01-22,INTRODUCED,,referral
Read twice and referred to the Committee on the Judiciary.,s2,SSJU,2013-01-22,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s3,SSHR,2013-01-22,INTRODUCED,,referral
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s4,SSCM,2013-01-22,INTRODUCED,,referral
Read twice and referred to the Committee on the Judiciary.,s5,SSJU,2013-01-22,INTRODUCED,,referral
Read twice and referred to the Committee on Veterans' Affairs.,s6,SSVA,2013-01-22,INTRODUCED,,referral
Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 113-111.,s6,SSVA,2013-01-12,,,hearings
Committee on Veterans' Affairs. Ordered to be reported with an amendment in the nature of a substitute favorably.,s6,SSVA,2013-01-24,REPORTED,,calendar
"Read twice and referred to the Committee on Commerce, Science, and Transportation.",s7,SSCM,2013-01-22,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s8,SSFI,2013-01-22,INTRODUCED,,referral
Read twice and referred to the Committee on Rules and Administration.,s9,SSRA,2013-01-22,INTRODUCED,,referral
"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",s10,SSAF,2013-01-22,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s11,SSFI,2013-01-26,INTRODUCED,,referral
Read twice and referred to the Committee on Foreign Relations.,s12,SSFR,2013-01-26,INTRODUCED,,referral
"Read twice and referred to the Committee on Health, Education, Labor, and Pensions.",s13,SSHR,2013-01-26,INTRODUCED,,referral
Sponsor introductory remarks on measure.,s14,,2013-01-26,INTRODUCED,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s14,SSEG,2013-01-26,REFERRED,,referral
Read twice and referred to the Committee on Homeland Security and Governmental Affairs.,s15,SSGA,2013-01-26,INTRODUCED,,referral
"Introduced in the Senate. Read twice. Pursuant to the order of 2/14/2013, as modified on 2/26/2013, Placed on Senate Legislative Calendar under General Orders. Calendar No. 19.",s16,,2013-01-27,INTRODUCED,,calendar
Motion to proceed to consideration of measure made in Senate.,s16,,2013-01-27,,,action
Cloture motion on the motion to proceed to the measure presented in Senate.,s16,,2013-01-27,,,action
Motion to proceed to measure considered in Senate.,s16,,2013-01-28,,,action
Cloture on the motion to proceed to the measure not invoked in Senate by Yea-Nay Vote. 38 - 62. Record Vote Number: 26.,s16,,2013-01-28,PROV_KILL:CLOTUREFAILED,,vote-aux
Motion to proceed to consideration of measure withdrawn in Senate.,s16,,2013-01-28,,,action
Read twice and referred to the Committee on Energy and Natural Resources.,s17,SSEG,2013-01-27,INTRODUCED,,referral
Read twice and referred to the Committee on Finance.,s18,SSFI,2013-01-27,INTRODUCED,,referral
