_action_text,_bill,_committees,_date,_status,_time,_type
Introduced in House,hr2,,2015-01-24,INTRODUCED,,action
Referred to House Energy and Commerce,hr2,HSIF,2015-01-24,REFERRED,,referral
"Referred to the Committee on Energy and Commerce, and in addition to the Committees on Ways and Means, the Judiciary, Agriculture, Natural Resources, and the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",hr2,,2015-01-24,,,referral
Referred to House Ways and Means,hr2,HSWM,2015-01-24,,,referral
Referred to House Judiciary,hr2,HSJU,2015-01-24,,,referral
Referred to House Agriculture,hr2,HSAG,2015-01-24,,,referral
Referred to House Natural Resources,hr2,HSII,2015-01-24,,,referral
Referred to House Budget,hr2,HSBU,2015-01-24,,,referral
Referred to the Subcommittee on Health.,hr2,HSWM,2015-01-24,,,referral
Referred to the Subcommittee on Federal Lands.,hr2,HSII,2015-01-25,,,referral
Rules Committee Resolution H. Res. 173 Reported to House. Rule provides for consideration of H.R. 2 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Measure will be considered read. Bill is closed to amendments.,hr2,,2015-01-25,,19:05:19,action
Rule H. Res. 173 passed House.,hr2,,2015-01-26,,10:12:35,action
Considered under the provisions of rule H. Res. 173.,hr2,,2015-01-26,,10:13:42,action
Rule provides for consideration of H.R. 2 with 1 hour of general debate. Previous question shall be considered as ordered without intervening motions except motion to recommit with or without instructions. Measure will be considered read. Bill is closed to amendments.,hr2,,2015-01-26,,10:13:47,action
DEBATE - The House proceeded with one hour of debate on H.R. 2.,hr2,,2015-01-26,,10:14:23,action
The previous question was ordered pursuant to the rule.,hr2,,2015-01-26,,11:40:13,action
On passage Passed by the Yeas and Nays: 392 - 37 (Roll no. 144).,hr2,,2015-01-26,PASS_OVER:HOUSE,12:08:17,vote
Motion to reconsider laid on the table Agreed to without objection.,hr2,,2015-01-26,,12:08:18,action
"Received in the Senate, read twice.",hr2,,2015-01-26,,,action
